ID;X;Y;CLASSE;AREIA_1;ARGILA_1;AREIA_2;ARGILA_2;AREIA_3;ARGILA_3;AREIA_4;ARGILA_4;S1;S2;S3;S4;S;h;CAP;PF;EA
91;518681;6909610;RL;87;591;NA;NA;NA;NA;NA;NA;0;0;1;0;3;29.8;126.5;20;20
92;517949.9;6909628;CX;92;576;143;551;114;698;90;672;0;0;0;1;4;28.5;160;100;40
93;518697;6909640;CX;68;657;83;635;59;728;NA;NA;0;0;1;0;3;30.5;142.3;70;30
94;518549.9;6909648;CX;109;611;71;623;71;623;49;709;0;0;1;0;3;29.8;139.5;100;40
95;518334.9;6909663;CX;84;556;NA;NA;NA;NA;NA;NA;0;0;0;1;4;26.7;152.8;90;38
97;517919.9;6909738;CX;84;556;69;622;50;678;105;610;0;0;1;0;3;31;140.3;80;40
98;518065;6909719;GX;87;394;44;427;37;641;31;688;0;0;0;1;4;27.9;127.5;100;40
99;517959.9;6909798;OX;90;537;114;539;52;579;89;425;0;0;1;0;3;29.4;119;100;50
106;517549.9;6909083;RL;218;504;NA;NA;NA;NA;NA;NA;0;0;1;0;3;32;135.5;20;20
110;517007;6909279;CX;100;558;76;648;79;654;NA;NA;0;0;1;0;3;30.8;153.3;60;20
114;517260;6909355;RL;160;502;NA;NA;NA;NA;NA;NA;0;0;0;1;4;25.6;152;20;20
115;518392;6909409;CX;80;549;36;574;110;690;53;571;0;0;1;0;3;29.1;134.8;90;60
116;518289.9;6909358;RL;189;393;NA;NA;NA;NA;NA;NA;0;0;1;0;3;29.5;126.3;30;30
120;518289.9;6909423;RL;139;590;NA;NA;NA;NA;NA;NA;0;1;0;0;2;32.5;140.5;30;30
122;517049.9;6909438;CX;74;635;96;513;67;708;72;696;0;0;1;0;3;30.7;148.8;70;60
123;518509.9;6909483;CX;264;382;72;438;70;451;154;332;0;0;1;0;3;30;173.3;100;30
130;518389.9;6909483;CX;158;595;140;610;109;653;NA;NA;0;1;0;0;2;33.3;153.8;60;30
131;517636;6909492;CX;30;714;54;631;39;707;43;656;0;0;1;0;3;29.2;146.8;100;40
132;517813;6909341;CX;154;576;83;608;63;672;51;789;0;1;0;0;2;33.5;150.5;100;30
