X,Y,ID,X,Y,CLASSE,AREIA_1,ARGILA_1,AREIA_2,ARGILA_2,AREIA_3,ARGILA_3,AREIA_4,ARGILA_4,S1,S2,S3,S4,S,h,CAP,PF,EA,Sitio
517319.9,6909358.0,59,517319.900000000020000,6909358,CX,59,432,45,666,59,720,53,678,0,0,0,1,4,28.800000000000001,137.800000000000010,100,40,1
518164.9,6909358.0,60,518164.900000000020000,6909358,RL,163,531,NA,NA,NA,NA,NA,NA,0,0,1,0,3,30.399999999999999,150.300000000000010,10,10,4
517021,6909358,61,517021.000000000000000,6909358,CX,51,453,48,667,56,667,51,656,0,1,0,0,2,32.500000000000000,176.500000000000000,100,50,1
517459,6909366,62,517459.000000000000000,6909366,RR,80,414,74,461,70,660,NA,NA,0,0,0,1,4,28.100000000000001,139.800000000000010,70,70,3
518229.9,6909368.0,63,518229.900000000020000,6909368,RL,202,512,NA,NA,NA,NA,NA,NA,0,0,1,0,3,31.500000000000000,147.000000000000000,30,20,4
517699.9,6909398.0,64,517699.900000000020000,6909398,CX,157,555,NA,NA,NA,NA,NA,NA,0,1,0,0,2,34.399999999999999,159.800000000000010,100,60,2
517219.9,6909403.0,65,517219.900000000020000,6909403,GX,127,630,99,617,NA,NA,NA,NA,0,0,1,0,3,30.600000000000001,152.300000000000010,70,30,1
517281,6909418,66,517281.000000000000000,6909418,GX,96,210,80,377,62,287,NA,NA,0,0,1,0,3,30.100000000000001,162.300000000000010,60,20,1
517631,6909428,67,517631.000000000000000,6909428,RR,100,471,144,484,61,584,53,670,0,1,0,0,2,33.100000000000001,154.000000000000000,50,50,2
518359,6909426,68,518359.000000000000000,6909426,RR,137,659,152,563,NA,NA,NA,NA,0,0,1,0,3,30.000000000000000,146.800000000000010,40,20,2
518504.9,6909453.0,69,518504.900000000020000,6909453,RL,229,495,NA,NA,NA,NA,NA,NA,0,0,0,1,4,24.399999999999999,140.000000000000000,10,10,2
517894.9,6909458.0,70,517894.900000000020000,6909458,RR,164,478,92,419,87,386,NA,NA,0,0,0,1,4,28.899999999999999,137.500000000000000,55,55,4
518614,6909458,71,518614.000000000000000,6909458,RR,120,633,129,611,NA,NA,NA,NA,0,0,1,0,3,30.000000000000000,170.300000000000010,60,20,3
517361,6909449,72,517361.000000000000000,6909449,CX,89,560,109,586,83,631,NA,NA,0,0,1,0,3,30.399999999999999,148.500000000000000,60,45,3
517605,6909320,73,517605.000000000000000,6909320,RL,152,563,NA,NA,NA,NA,NA,NA,0,0,0,1,4,27.199999999999999,160.000000000000000,10,10,2
518304.9,6909478.0,74,518304.900000000020000,6909478,RL,186,484,NA,NA,NA,NA,NA,NA,0,0,0,1,4,28.899999999999999,135.300000000000010,15,15,2
518124.9,6909483.0,75,518124.900000000020000,6909483,RL,149,549,NA,NA,NA,NA,NA,NA,0,1,0,0,2,32.200000000000003,130.000000000000000,30,30,4
517994.9,6909493.0,76,517994.900000000020000,6909493,RR,70,648,64,609,NA,NA,NA,NA,0,0,0,1,4,28.000000000000000,134.500000000000000,50,30,4
518709.9,6909508.0,79,518709.900000000020000,6909508,CX,163,482,43,687,57,694,NA,NA,0,0,1,0,3,30.800000000000001,151.300000000000010,60,20,3
517979.9,6909523.0,80,517979.900000000020000,6909523,CX,175,551,82,617,95,663,NA,NA,0,0,1,0,3,30.000000000000000,133.800000000000010,70,30,4
517918,6909505,81,517918.000000000000000,6909505,CX,58,499,45,618,57,715,71,728,0,0,0,1,4,28.899999999999999,175.000000000000000,100,40,2
518034.9,6909583.0,82,518034.900000000020000,6909583,CX,90,572,70,608,48,683,50,685,0,1,0,0,2,32.399999999999999,136.800000000000010,100,30,4
518196,6909570,83,518196.000000000000000,6909570,RL,75,639,NA,NA,NA,NA,NA,NA,0,0,0,1,4,28.000000000000000,130.000000000000000,20,20,2
518411,6909604,84,518411.000000000000000,6909604,RL,219,491,NA,NA,NA,NA,NA,NA,0,0,0,1,4,28.399999999999999,135.300000000000010,15,10,
517924.9,6909603.0,86,517924.900000000020000,6909603,GX,62,425,84,438,29,697,74,682,0,0,0,1,4,28.800000000000001,154.500000000000000,100,40,2
518034.9,6909608.0,87,518034.900000000020000,6909608,CX,87,599,68,632,66,633,NA,NA,0,0,1,0,3,31.600000000000001,137.800000000000010,60,30,4
518459.9,6909608.0,88,518459.900000000020000,6909608,CX,117,533,103,587,85,650,NA,NA,0,0,1,0,3,31.600000000000001,132.000000000000000,70,30,3
517879.9,6909613.0,89,517879.900000000020000,6909613,CX,93,379,105,552,123,473,84,665,0,0,1,0,3,31.500000000000000,148.500000000000000,10,60,2
518164.9,6909623.0,90,518164.900000000020000,6909623,CX,68,600,52,617,74,671,38,702,0,0,1,0,3,31.500000000000000,137.300000000000010,100,40,2
518681,6909610,91,518681.000000000000000,6909610,RL,87,591,NA,NA,NA,NA,NA,NA,0,0,1,0,3,29.800000000000001,126.500000000000000,20,20,3
517949.9,6909628.0,92,517949.900000000020000,6909628,CX,92,576,143,551,114,698,90,672,0,0,0,1,4,28.500000000000000,160.000000000000000,100,40,2
518697,6909640,93,518697.000000000000000,6909640,CX,68,657,83,635,59,728,NA,NA,0,0,1,0,3,30.500000000000000,142.300000000000010,70,30,3
518549.9,6909648.0,94,518549.900000000020000,6909648,CX,109,611,71,623,71,623,49,709,0,0,1,0,3,29.800000000000001,139.500000000000000,100,40,3
518334.9,6909663.0,95,518334.900000000020000,6909663,CX,84,556,NA,NA,NA,NA,NA,NA,0,0,0,1,4,26.699999999999999,152.800000000000010,90,38,2
517919.9,6909738.0,97,517919.900000000020000,6909738,CX,84,556,69,622,50,678,105,610,0,0,1,0,3,31.000000000000000,140.300000000000010,80,40,2
518065,6909719,98,518065.000000000000000,6909719,GX,87,394,44,427,37,641,31,688,0,0,0,1,4,27.899999999999999,127.500000000000000,100,40,
517959.9,6909798.0,99,517959.900000000020000,6909798,OX,90,537,114,539,52,579,89,425,0,0,1,0,3,29.399999999999999,119.000000000000000,100,50,2
517560.632476245,6909106.50917096,106,517549.900000000020000,6909083,RL,218,504,NA,NA,NA,NA,NA,NA,0,0,1,0,3,32.000000000000000,135.500000000000000,20,20,1
517007,6909279,110,517007.000000000000000,6909279,CX,100,558,76,648,79,654,NA,NA,0,0,1,0,3,30.800000000000001,153.300000000000010,60,20,1
517260,6909355,114,517260.000000000000000,6909355,RL,160,502,NA,NA,NA,NA,NA,NA,0,0,0,1,4,25.600000000000001,152.000000000000000,20,20,1
518392,6909409,115,518392.000000000000000,6909409,CX,80,549,36,574,110,690,53,571,0,0,1,0,3,29.100000000000001,134.800000000000010,90,60,2
518261.258138489,6909358.0435117,116,518289.900000000020000,6909358,RL,189,393,NA,NA,NA,NA,NA,NA,0,0,1,0,3,29.500000000000000,126.300000000000000,30,30,4
518262.574858373,6909423.04151582,120,518289.900000000020000,6909423,RL,139,590,NA,NA,NA,NA,NA,NA,0,1,0,0,2,32.500000000000000,140.500000000000000,30,30,4
517052.186671462,6909437.99675868,122,517049.900000000020000,6909438,CX,74,635,96,513,67,708,72,696,0,0,1,0,3,30.699999999999999,148.800000000000010,70,60,1
518509.377545605,6909475.37994388,123,518509.900000000020000,6909483,CX,264,382,72,438,70,451,154,332,0,0,1,0,3,30.000000000000000,173.300000000000010,100,30,2
518397.503433869,6909445.3921791,130,518389.900000000020000,6909483,CX,158,595,140,610,109,653,NA,NA,0,1,0,0,2,33.299999999999997,153.800000000000010,60,30,2
517636,6909492,131,517636.000000000000000,6909492,CX,30,714,54,631,39,707,43,656,0,0,1,0,3,29.199999999999999,146.800000000000010,100,40,2
517813,6909341,132,517813.000000000000000,6909341,CX,154,576,83,608,63,672,51,789,0,1,0,0,2,33.500000000000000,150.500000000000000,100,30,4
