ID;X;Y;LC;LS;MC;PLC;RSP;TI;TPI;TRI;TWI;VD;CNBL;DDR;DFI;DUI;ELEV;DECLI;ASP;LSF;VDCN
106;517549.9;6909083;-0.004434;0.471049;-0.005103;-0.010473;-0.091308;4.669647;-2.597792;0.381878;7.825518;31.800216;889.512739;3.924106;0.948343;12;886.854117;10.00113;0.547943;7.876806;1.605713
110;517007;6909279;0.006145;1.949673;-0.004087;-0.019193;-0.154931;5.089305;-0.353134;1.064585;6.509503;22.104657;899.891021;4.383567;0.945408;11.450021;896.927793;19.35185;2.61177;3.029246;6.586121
114;517260;6909355;0.000457;2.438182;-0.006144;-0.028144;0.48968;5.031385;-1.127403;1.140475;7.193729;9.186705;901.068892;4.312411;0.947098;11.188963;909.874364;11.20365;3.498413;2.263375;21.437317
115;518392;6909409;0.003758;1.322199;-0.002537;0.034285;0.44851;4.658334;3.754168;1.131464;4.215454;20.362223;896.780029;3.914963;0.947835;11.092928;913.339986;10.56095;4.774418;1.715051;18.288086
116;518289.9;6909358;-0.003412;0.392089;-0.0038;-0.061125;0.078052;4.547553;-3.052808;0.217997;12.171733;34.04034;896.780029;3.781421;0.951088;11;899.66187;11.25527;4.668436;5.084024;4.973572
120;518289.9;6909423;-0.005341;2.524917;-0.01281;-0.093472;0.119049;4.828273;-5.228638;0.833015;11.186773;32.526628;896.780029;4.088122;0.94898;10.601828;901.175582;12.55303;3.919394;5.230813;6.668396
122;517049.9;6909438;0.000485;1.055586;-0.002174;0.005289;0.510962;4.501749;-1.607122;0.628474;6.55902;9.163813;900.684148;3.734967;0.950746;11.463189;910.25518;6.84532;3.016837;4.478015;19.518921
123;518509.9;6909483;-0.003458;0.72796;-0.002314;0.007869;0.483447;4.091247;-0.176172;0.615532;5.694374;19.07227;896.780029;3.297408;0.952022;10.988155;914.62994;13.24678;6.022299;1.869929;20.44812
130;518389.9;6909483;-0.004267;0.594289;-0.00221;-0.045512;0.298286;4.524657;-3.541707;0.297961;10.616428;25.908804;896.780029;3.751609;0.952236;11.00597;907.791878;8.94885;5.60054;1.880185;13.735779
131;517636;6909492;0.000955;1.012733;-0.002213;0.003192;0.456459;4.684022;1.535517;0.794183;5.62731;5.141821;915.712747;3.920612;0.951917;11.432253;920.071043;9.98889;2.514178;2.468424;28.041382
132;517813;6909341;0.001792;0.953916;-7.70E-05;0.019437;-0.097464;4.680494;2.587767;0.655205;6.464519;20.753222;909.978647;3.923234;0.950695;11.471627;908.156083;15.33819;3.431346;2.29909;18.199707
